Id,SourceId,Source,Comment,W,L,G,PossibleDuplicate,SuspiciousWeight
1,A01,Crawford,early/pre-spawn,70.00,55.00,32.00,0,1
2,A02,Crawford,,69.69,62.50,31.25,0,1
3,A03,Crawford,,67.50,60.25,33.50,0,1
4,A04,Crawford,early/pre-spawn,65.31,53.75,33.50,0,1
5,A05,Crawford,,65.00,56.50,30.50,0,1
6,A06,Crawford,,61.81,59.25,32.50,0,1
7,A07,Crawford,,61.56,59.00,31.00,0,1
8,A08,Crawford,,60.50,58.50,31.50,0,0
9,A09,Crawford,early/pre-spawn,59.69,60.00,29.00,1,0
10,A10,Crawford,,59.50,58.25,32.50,0,0
11,B01,Crawford,,58.85,52.50,30.75,0,0
12,A11,Crawford,,58.25,59.00,34.50,0,0
13,A12,Crawford,,57.63,59.00,30.00,0,0
14,A13,Crawford,,56.69,57.88,25.50,0,0
15,A14,Crawford,,56.44,55.00,29.63,0,0
16,A15,Crawford,early/pre-spawn,55.13,50.25,29.25,0,0
17,A16,Crawford,not verified,55.00,59.00,28.00,0,1
18,A17,Crawford,,55.00,55.00,26.00,0,0
19,A18,Crawford,,55.00,57.00,25.50,0,0
20,A19,Crawford,early/pre-spawn,54.50,55.00,27.75,0,0
21,B02,Crawford,,54.50,55.00,28.00,0,0
22,A20,Crawford,,54.19,57.00,25.00,0,0
23,A21,Crawford,,54.00,57.00,25.00,0,0
24,B03,Crawford,,54.00,53.50,29.00,0,0
25,A22,Crawford,early/pre-spawn,53.75,54.13,33.25,0,0
26,A23,Crawford,,53.75,57.00,25.25,0,0
27,A24,Crawford,,53.50,59.00,27.50,0,0
28,A25,Crawford,,53.50,55.00,26.00,0,0
29,B04,Crawford,,53.00,57.75,27.50,0,0
30,A26,Crawford,,52.75,52.00,29.00,1,0
31,A27,Crawford,,52.50,54.50,27.50,0,0
32,B05,Crawford,,52.50,51.00,29.50,0,0
33,B06,Crawford,,52.20,55.00,28.00,1,0
34,A28,Crawford,,52.00,64.00,26.25,0,0
35,B07,Crawford,,52.00,58.00,27.00,0,0
36,B08,Crawford,,52.00,53.00,28.50,0,0
37,A29,Crawford,bad girth measure?,51.75,53.00,23.13,0,1
38,A30,Crawford,,51.50,53.00,25.00,0,0
39,A31,Crawford,,51.50,57.75,27.75,0,0
40,A32,Crawford, hybrid,51.19,54.00,25.25,0,0
41,A33,Crawford,imm. post spawn,51.06,59.00,29.50,0,0
42,A34,Crawford,,51.00,58.00,28.00,0,0
43,A35,Crawford,bad girth measure?,51.00,55.00,24.00,0,1
44,A36,Crawford,,51.00,53.00,25.25,0,0
45,A37,Crawford,not verified,51.00,56.00,26.00,1,1
46,B09,Crawford,,51.00,50.50,28.50,0,0
47,B10,Crawford,,51.00,56.50,26.75,0,0
48,A38,Crawford,,50.50,54.50,26.00,0,0
49,A39,Crawford,,50.25,53.00,24.50,0,0
50,A40,Crawford,hybrid,50.25,56.00,26.00,1,0
51,A41,Crawford,,50.25,52.50,26.50,0,0
52,A42,Crawford,imm. post spawn,50.19,54.00,28.00,0,0
53,A43,Crawford,,50.13,58.00,24.00,0,0
54,A44,Crawford,,50.06,53.00,29.00,0,0
55,A45,Crawford,,50.00,54.00,26.00,0,0
56,A46,Crawford,,50.00,54.00,24.00,0,0
57,A47,Crawford,,50.00,53.75,27.00,1,0
58,B11,Crawford,,50.00,53.00,28.75,0,0
59,A48,Crawford,early/pre-spawn,49.75,50.38,28.00,0,0
60,B12,Crawford,released,49.65,54.50,27.50,0,0
61,A49,Crawford,,49.50,54.00,28.00,0,0
62,A50,Crawford,,49.50,51.50,26.00,0,0
63,A51,Crawford,,49.44,54.25,24.13,0,0
